id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
1035654,The Apology,6.449,49,Released,2022-12-16,0,91,False,/6JRVzEY5p9XZTnSQMnRZQHlUWUg.jpg,0,,tt22494914,en,The Apology,"Twenty years after the disappearance of her daughter, a recovering alcoholic is preparing to host her family's Christmas celebration when her estranged ex-brother-in-law arrives unannounced, bearing nostalgic gifts and a heavy secret.",6.549,/gUFHThondPpmjqeh3XI1yXnCRDa.jpg,Revenge is a mother.,"Thriller, Horror",Company X,United States of America,English
1055206,The 12 Slays of Christmas,9.0,2,Released,2022-12-16,0,41,False,/73BNDcHOjaTjap5N6N7qsVDI7k7.jpg,0,,tt22259668,en,The 12 Slays of Christmas,"When a trio of lovely young ladies get their car stuck in a snowstorm, they take shelter in a looming Gothic manor, lorded over by a sinister old man. As their host sits them down for a lavish Holiday feast, ghastly gifts and terrifying tales are unleashed and soon the women wonder if they'll live to see another Christmas.",1.369,/2RKVC8s0LLLnh1617m2PB8YROh2.jpg,Terror Comes in Small Packages,Horror,Full Moon Features,United States of America,English
1103117,Camp Murder,6.0,2,Released,2022-12-16,0,73,False,,8000,http://www.fellpeller.com,tt12986726,en,Camp Murder,"In August of 1984, seven very stereotypical teenagers head up to their local summer camp. Little do they know, the movie is called Camp Murder. A loving throwback to cheap and cheesy slasher cinema of the late 70's and early 80's.",0.6,/zKCr4d2IZkUqrFB2L54StRwXnbc.jpg,It's exactly what it sounds like...,"Horror, Comedy",Fellpeller Studios,United States of America,English
1062839,2025 Armageddon,2.5,2,Released,2022-12-16,0,90,False,/ejCp6BfEwR34jike1owX5zD92tr.jpg,0,,tt24057390,en,2025 Armageddon,A militant alien race launches an attack on Earth using gigantic creatures and geological disasters all based on those found on The Asylum's Movie Channel signal which reached their planet.,2.623,/uUdBpr84ceikxTEUe33Ub8XNNKY.jpg,Welcome to the multiverse.,"Action, Science Fiction, Horror",The Asylum,United States of America,English
794004,Bleach,4.0,1,Released,2022-12-15,0,0,False,/5KGQEaE519pOD9DltmWBo6OcuH1.jpg,0,,tt4139336,en,Bleach,A man goes through extreme measures to attempt to stop the ghosts of the girls he murdered in a snuff film from haunting while trying to keep the authorities off his back as well.,3.845,/kFL9ujaZcZbJ1J1hghQyqTWmgkE.jpg,,"Horror, Crime",Cat Eat Bird Productions,United States of America,English
1060417,FIN,10.0,1,Released,2022-12-14,0,11,False,/xq7GHGpso71n226gYXTEU8bOEby.jpg,875,,,en,FIN,Three best friends rent a cabin for a boys fishing weekend until a mysterious force brings out the worst in them & tests their friendship.,0.6,/uyhEF4dHWkPGS9RnSJ1JmlR9eEH.jpg,,"Horror, Fantasy, Science Fiction, Thriller, Adventure, Romance",UWM Collaborative Filmmaking - Fall 2022,United States of America,English
1059353,The Amityville Cute Farting Cat,0.0,0,Released,2022-12-14,0,1,False,,0,,tt24200384,en,The Amityville Cute Farting Cat,"Toots n spooks are abound, as a cute farting cat encounters a haunting presence in the Amityville house.",0.6,/3DQEWWwdcy45YhpwiFCuNPd9m3Y.jpg,"In 2022, twelve Amityville movies were released... This is the 13th.","Horror, Comedy",,United States of America,
1101540,The Sierra Nevada Murders,0.0,0,Released,2022-12-13,0,101,False,,0,,tt10762362,en,The Sierra Nevada Murders,"When a serial killer dies in prison, secrets and new revelations are exposed, in this found footage horror mockumentary.",0.959,/wbKEv43RwmjLmpOEcZi7fg6giOZ.jpg,Some stories are better left forgotten.,"Crime, Horror",Koa Aloha Media,United States of America,English
1053846,13 Tracks to Frighten Agatha Black,0.0,0,Released,2022-12-13,0,92,False,/hBaNSbnxnp3fxnqDs95LeFTL5GC.jpg,0,,tt10194058,en,13 Tracks to Frighten Agatha Black,"After a tragic event, a sheltered young woman seeks the comfort of some long-forgotten scary story records from her youth. The specter of losing her family home and a string of crimes in her neighborhood propel her toward a dark obsession with the frightening tales. Eerily, they begin to reveal occult truths and hint at a violent, inescapable fate. Like a disease, the stories begin to infect others who enter her world, creating disturbing encounters that bring her to the threshold of terror.",0.913,/sOoK4jNPH9fiMGvCx3IeRLsWxz5.jpg,What will the needle conjure with those deep cuts from her past?,"Horror, Music",,United States of America,English
1020182,The Christmas Tapes,1.0,1,Released,2022-12-12,0,100,False,/oiFcRqmHTO1HmroO2ZdJDPz5Tom.jpg,0,,tt18938222,en,The Christmas Tapes,"In this Christmas-Horror Anthology, a family's movie night on Christmas Eve is interrupted by a stranger, insistent on making the next Christmas 'classic' film himself.",2.397,/rAx4L10nn7wH4CxFkYzSwEMCvKY.jpg,The gifts that keep on killing.,"Comedy, Horror",,United States of America,English
1104428,The Little Helpers,9.0,1,Released,2022-12-12,0,5,False,,0,,,en,The Little Helpers,"Two elves get a visit from their boss, and it isn’t very pleasant.",0.6,/z0Il9jd8ntmjktG5tvNlu7FVL0B.jpg,,Horror,,United States of America,English
1060421,Adult Swim Yule Log,6.579,19,Released,2022-12-11,0,91,False,/e5AJWR1YNaM9ps6LRgQoE0fzshO.jpg,0,,tt24248198,en,Adult Swim Yule Log,"Get in the holiday spirit with this cozy, crackling fire.",4.098,/faELFruDaoZQzOKLhrRDBheCSx3.jpg,,"Comedy, Horror, Science Fiction","Williams Street, Adult Swim, Fried Society",United States of America,English
1061964,Stares,0.0,0,Released,2022-12-11,0,15,False,,50,,,en,Stares,A motorist is haunted by a wayfarer he has accidentally wronged.,0.6,/f7a6YD31AAmJhvFYMZ3iSKh6apQ.jpg,,"Action, Horror",,United States of America,
1114040,Feng Shui,6.0,1,Released,2022-12-11,0,7,False,,0,,tt26771959,en,Feng Shui,"A man takes on a roommate, only his roommate thinks she lives alone.",0.6,,,"Horror, Thriller","Skeleton Crew, Step One Films",United States of America,English
1113573,Judy’s Turn to Cry,0.0,0,Released,2022-12-09,0,14,False,/3em6fQDGOpA0GkGCAOpJeZNRNRU.jpg,0,,tt24640620,en,Judy’s Turn to Cry,A sleepover in the 1950s takes a turn for the gruesome when a mean-spirited prank goes dreadfully wrong.,0.6,/eGa8ccIQvvAATmak2tT9HJZjBcs.jpg,Now that was a foolish thing.,"Horror, Thriller",Starlight Films,United States of America,English
276328,The Death of April,4.0,1,Released,2022-12-09,0,90,False,/1nsPRbBM88ZNLMvgb0KThS956ks.jpg,0,,tt2229103,en,The Death of April,"Meagan Mullen, freshly moved in her new home, keeps in touch with her friends and family through a video blog. As her entries (and her life) become more complex and emotional, strange things begin to happen in her room and the camera captures all of it.",1.604,/l6oSQ7wod518ilLqDUpdr6gSV4A.jpg,It should have remained a mystery.,"Mystery, Horror",MojoCreative Group,United States of America,English
1056078,Night of the Scariness,0.0,0,Released,2022-12-09,0,5,False,,0,,,en,Night of the Scariness,Guaranteed to make you scream and cry and piss your pants and vomit yourself..........,0.6,/saJIaXyj5DKvziykzIu8nOrBmmP.jpg,From the twisted mind of Parker Strickland......,Horror,Goblitron Cinema,United States of America,English
1038043,#Float,5.4,5,Released,2022-12-09,0,76,False,/3yaJ7V1OS5aKjdvdJpLau4tphdd.jpg,0,,tt15289312,en,#Float,"When a vlogger and her crew embark on their annual river float to commemorate the untimely loss of their friend, they are plunged into a life and death battle with a mysterious local, a sinister paranormal force, and their own fears.",2.894,/xNyqgBBkbII8qBejh5czNqrT70p.jpg,,Horror,"Rotting Press, The Straits",United States of America,English
1033052,The Mean One,7.583,13,Released,2022-12-08,0,93,False,/6Buj8N9rVVCiJiBGmVZWMPzqkPl.jpg,0,,tt20853816,en,The Mean One,"In a sleepy mountain town, Cindy witnesses the murder of her parents by a blood-thirsty green figure in a red Santa suit. Twenty years later, the Christmas-hating monster begins to terrorize the town once more. Cindy finds new purpose in stopping the creature and saving the holiday.",6.552,/vYLxywoblaAEU4odYlM0P4eYcWg.jpg,Slashing through the snow.,"Horror, Comedy","XYZ Films, A Sleight of Hand Productions, Amy Rose Productions, Kali Pictures",United States of America,English
917007,Bed Rest,6.44,151,Released,2022-12-08,0,90,False,/lQzSMhkAl90iXPirjnLbRHkxApC.jpg,0,,tt4896168,en,Bed Rest,A pregnant woman on bed rest begins to wonder if her house is haunted or if it's all in her head.,73.095,/tiZF8b9T9fMcwvsEEkJ5ik1wCnV.jpg,Fear never rests,Horror,"STX Films, Project X Entertainment, BondIt Media Capital",United States of America,English
1059916,Cabbage,0.0,0,Released,2022-12-08,0,14,False,/8QEKBWZtZwm3dtmZFYDSVMDeHA1.jpg,10000,,,en,Cabbage,"On a desolate farm, a couple's prayers are answered after a visitor offers them a sinister deal. Blinded by their joy, they struggle to realize that what they once desired may lead to their own unraveling.",1.4,/bJs33G5KJsiJNiO8TGQo7t4CtSh.jpg,REAP WHAT YOU SOW.,"Drama, Horror, Thriller, Fantasy","University of Southern California, School of Cinematic Arts",United States of America,English
721930,Where’s Rose,5.75,4,Released,2022-12-08,0,83,False,/lWEeMTFwWlUPnvQZQDbuRBOfnwV.jpg,0,,tt10804210,en,Where’s Rose,"When a little girl is found after going missing, only her older brother recognizes the evil force that has returned in her place.",2.057,/9cTOkOWATBoQvtHY6SAJhkiNciF.jpg,,"Thriller, Horror","Nonlinear Studios, Barnegat Studios, Bobadilla Productions, TriCoast Worldwide",United States of America,English
1081115,The Locked Trunk,10.0,2,Released,2022-12-06,0,9,False,,0,https://www.youtube.com/watch?v=VXs2T1ktJRc&t=5s,,en,The Locked Trunk,"Struggling author August Bell receives a random key in the mail. After going on a hunt, he finds a lost trunk in the woods. Will his key open it? And what may lie inside?",0.6,/4DbmjEEyzjKNozDtsIlTuUhaOlz.jpg,,"Thriller, Mystery, Horror",Rags Entertainment,United States of America,English
1058073,Sloppy Seconds,0.0,0,Released,2022-12-04,0,12,False,,0,,tt18265686,en,Sloppy Seconds,"After a man is called into work, canceling date night with his wife, she surprises him with his favorite dinner. However, his mistress's texts reveal the nights actual deadly events.",0.6,/c2bV5YkSSRYjoXCT0r1OQpBs9g4.jpg,,Horror,,United States of America,English
1058081,A Bitter Murmur,0.0,0,Released,2022-12-04,0,8,False,,0,,tt19710702,en,A Bitter Murmur,"When Sam's struggle with loneliness and isolation brings the return of a haunting presence from her childhood, she is forced to question what is real and what isn't.",0.654,/tSaQZUizp4aAQdEyyr3NJaYod80.jpg,,Horror,,United States of America,English
1063707,The Demojordan,10.0,2,Released,2022-12-04,0,2,False,/bBQhH58IujVMhDp1uT9ABs0ILxl.jpg,0,https://www.youtube.com/watch?v=4iHXLqLmyJ0,tt24821054,en,The Demojordan,A frightening creature from unknown depths rises to attack a lone teenager.,0.761,/bINsCMadLeI3v8aq2vLcuJKodbK.jpg,It came from the crawlspace,"Horror, Action, Comedy",WeirdoProductions,United States of America,English
1115761,Trail of Doom,0.0,0,Released,2022-12-04,0,0,False,,5000,http://www.roguechimerafilms.com/p/trail-of-doom.html,,en,Trail of Doom,"Documented by a young woman hired to take behind-the-scenes footage, a horror movie production comes to a sudden halt when the funding mysteriously disappears. Suspecting the shady Executive Producer is behind it, things get out of hand when a couple of the crew members take drastic action and abduct him.",1.4,/r5pDirTBtFUWO2y8ogHP0225xz9.jpg,The production of a movie was documented on video in 2022. It didn't go exactly as planned.,"Horror, Comedy",Rogue Chimera Films,United States of America,English
877000,Stalked,0.0,0,Released,2022-12-04,0,20,False,,0,,tt13231228,en,Stalked,"A group of Urban Exploration YouTubers travel to the infamous town of Slaughter Hill, where an entire town seemingly disappeared overnight.",0.6,/j1Vc849zvNHJAIKJixBg4TPj13i.jpg,,Horror,,United States of America,English
994348,Who Kidnapped My Mom,6.2,5,Released,2022-12-03,0,74,False,/1ZSm4buDzugwnweyPeUDGAO2Lq0.jpg,0,,tt21198718,en,Who Kidnapped My Mom,"When widow Eva mysteriously disappears then soon resurfaces, police never fully believe her kidnapping claim. When Eva vanishes for a second time, her daughter Sami tries to convince authorities that her mother is truly being targeted.",3.472,/9GiggO47YNrbMBFfH3ARsYp24mh.jpg,,"Drama, Horror, TV Movie",,United States of America,English
1077500,The Milkman,6.0,1,Released,2022-12-03,0,7,False,,0,,,en,The Milkman,"Upon acquiring a vintage toy, the ""Peep-Scope"", a man unleashes a ghostly entity from a comic book into his own home.",0.6,/8X8Ss9WAqMOckxS01K8jVNCLo5b.jpg,,Horror,Buried Hatchet Productions,United States of America,English
1057768,Traders,0.0,0,Released,2022-12-03,0,9,False,,0,,tt14476340,en,Traders,"In '90s record stores, everything can be traded.",0.6,/lVcBG3p2g4lrbmRbCExjCOvehsP.jpg,,Horror,,United States of America,English
1059407,Party Bus,0.0,0,Released,2022-12-03,0,94,False,,50000,,tt21100460,en,Party Bus,Austin and his friends are reunited in a sordid bachelor party kidnapping that involves a secret from everyone's past that will come to light on this deadly Party Bus ride.,2.094,/mz0qFR0eLa1u6jTJ60o9gyh4EQs.jpg,,"Horror, Thriller",,United States of America,English
1048933,Frates in Inferno,0.0,0,Released,2022-12-02,1,10,False,,5,,,en,Frates in Inferno,A man's car breaks down and he finds himself in the grips of a killer priest.,0.6,,,"Horror, Fantasy, Thriller, Comedy","Withered Up Productions, Jayper Productions",United States of America,"English, Latin"
