titleType,primaryTitle,startYear,genres
tvEpisode,Episode #1.3,1972,Horror
movie,Resist,1972,Horror
tvEpisode,Episode #1.29,1972,Horror
tvEpisode,Fiend Without a Face,1972,Horror
tvEpisode,Curse of the Voodoo,1972,Horror
tvEpisode,The Skull,1972,Horror
tvEpisode,The Man They Could Not Hang,1972,Horror
tvEpisode,The Colossus of New York,1972,Horror
tvEpisode,Dinosaurus!,1972,Horror
tvEpisode,Behind the Mask,1972,Horror
tvEpisode,The Slaughter of the Vampires,1972,Horror
movie,The Curse of the Alpha Stone,1972,Horror
movie,Curse of the Headless Horseman,1972,Horror
movie,Daughters of Satan,1972,Horror
movie,Death Line,1972,Horror
movie,Deathmaster,1972,Horror
movie,Disciple of Death,1972,Horror
movie,Dracula A.D. 1972,1972,Horror
tvEpisode,Episode #1.5,1972,Horror
tvEpisode,Episode #1.7,1972,Horror
tvEpisode,Episode #1.8,1972,Horror
tvEpisode,Episode #1.9,1972,Horror
movie,Grave of the Vampire,1972,Horror
movie,Necromancy,1972,Horror
movie,Night of 1000 Cats,1972,Horror
movie,The Blood Spattered Bride,1972,Horror
movie,Baron Blood,1972,Horror
tvMovie,Something Evil,1972,Horror
movie,Stanley,1972,Horror
movie,Three on a Meathook,1972,Horror
movie,Virgin Witch,1972,Horror
tvEpisode,Episode #1.10,1972,Horror
tvEpisode,Episode #1.12,1972,Horror
tvEpisode,Episode #1.13,1972,Horror
movie,"Dracula, Prisoner of Frankenstein",1972,Horror
tvEpisode,Episode #1.14,1972,Horror
movie,Female Vampire,1973,Horror
movie,Baba Yaga,1973,Horror
movie,The Boy Who Cried Werewolf,1973,Horror
tvMovie,The Cat Creature,1973,Horror
movie,Scream Bloody Murder,1973,Horror
movie,The Severed Arm,1973,Horror
movie,Tales That Witness Madness,1973,Horror
movie,The Vault of Horror,1973,Horror
movie,It Happened at Nightmare Inn,1973,Horror
movie,Welcome to Arrow Beach,1973,Horror
movie,The Last House on Dead End Street,1973,Horror
movie,Daddy's Deadly Darling,1973,Horror
movie,The Devil's Wedding Night,1973,Horror
tvMovie,Don't Be Afraid of the Dark,1973,Horror
movie,Curse of the Devil,1973,Horror
movie,The Satanic Rites of Dracula,1973,Horror
movie,The Exorcist,1973,Horror
movie,The Devil's Plaything,1973,Horror
movie,The Legend of Hell House,1973,Horror
movie,Les démons,1973,Horror
movie,Terror Circus,1973,Horror
tvMovie,The Norliss Tapes,1973,Horror
movie,Doctor Death: Seeker of Souls,1973,Horror
tvEpisode,Koroshi no game,1973,Horror
tvEpisode,Shikabane o yobu onna,1973,Horror
tvEpisode,Chihôshi o kau onna,1973,Horror
